Name;Station_Name;Description;Length
1000;HFS;G1101-1103;164.989
1001;HFS;G1105;126.96
1002;HFS;G1107;117.36
1003;HFS;G1102-1104;164.989
1004;HFS;G1106;126.96
1005;HFS;G1108;126.36
1006;CHS;G1201-1203-1205;952.968
1007;CHS;G1202-1204-1206;975.08
1008;MGR;G1301-1303;488.093
1009;MGR;G1305;197.759
1010;MGR;G1302-1304;382.189
1011;MGR;G1306;411.219
1012;DDM;G1401-1403;1035.151
1013;DDM;G1402;633.508
1014;BGY;G1501-1503;820.183
1015;BGY;G1502-1504-1506;1026.118
1016;HGD;G1601-1603-1605;1694.681
1017;HGD;G1602-1604-1606;1659.124
1018;ZGS;G1701-1703;491.194
1019;ZGS;G1702-1704;382.206
1020;ZGS;G1706;132
1021;ZGS;G1708;132.58
1022;QPH;G1801-1803-1805;1260.297
1023;QPH;G1802-1804;993.867
1024;GDD;G1901-1903;776
1025;GDD;G1902-1904;1104.537
1026;WHC;G2001-2003;1103.833
1027;WHC;G2005;132
1028;WHC;G2002;879.956
1029;WHC;G2004;132.184
1030;HFN;G2101-2103;714.462
1031;HFN;G2102-2104;688.714
1032;NGC;G2201-2203-2205;1034.782
1033;NGC;G2202-2204-2206;1201.239
1034;LGS;G2301-2303-2305;790.187
1035;LGS;G2307;169.789
1036;LGS;G2302-2304;619.133
1037;LGS;G2306;139.789
1038;GWS;G2401-2403-2405;1188.055
1039;GWS;G2402-2404-2406;1335.612
1040;BHS;G2501-2503-2505-2507;2649
1041;BHS;G2502-2504-2506;2504.878
1042;ZLS;G2601-2603;803.455
1043;ZLS;G2605-2607;382.285
1044;ZLS;G2602-2604;777.88
1045;ZLS;G2606;132
1046;TXH;G2701-2703;798
1047;TXH;G2702-2704-2706;1402
1048;JDY;G2801-2803-2805;1532
1049;JDY;G2802-2804-2806;1322
1050;YGR;G2901-2903;526.185
1051;YGR;G2902-2904;382.19
1052;YGR;G2906;132
1053;YGR;G2908;132.38
1054;WDC;G3001-3003-3005;872.806
1055;WDC;G3002-3004;759.7
1056;WNB;G3101-3103;1071.493
1057;WNB;G3102-3104;865.711
1058;BZP;G3201-3203;1086.351
1059;BZP;G3202-3204;707.493
1060;JLW;G3301;132
1061;JLW;G3303;132.193
1062;JLW;G3305-3307-3309;519.435
1063;JLW;G3302;706.516
1064;JLW;G3304;132.38
1065;JLW;G3306-3308-3310;580.735
